Price,Beds,Baths,Sq-ft,Basement,Garage,Rooms,Annual Tax,Style,Year Built,Walkable Score,Bikeable Score,Address,City,Zip
349900,2.0,1.5,,1,1,5.0,5811.0,Single Family Residential,,12.0,20.0,"13 Chesterfield Way,Sayreville, NJ 08872",Sayreville, 08872
929900,5.0,3.0,3000.0,1,1,14.0,7797.0,Single Family Residential,1922,55.0,47.0,"312 Central Ave,Edison, NJ 08817",Edison, 08817
450000,3.0,1.5,1458.0,1,1,9.0,7076.0,Single Family Residential,1960,32.0,38.0,"147 Brewster Ave,Piscataway, NJ 08854",Piscataway, 08854
319000,2.0,1.0,,1,0,6.0,5812.0,Single Family Residential,1914,72.0,58.0,"211 David St,South Amboy, NJ 08879",South Amboy, 08879
450000,3.0,1.5,,1,0,7.0,6848.0,Single Family Residential,1955,36.0,29.0,"109 Wilson Ave,Sayreville, NJ 08859",Sayreville, 08859
289900,2.0,2.0,,0,1,5.0,259.0,Single Family Residential,1986,20.0,27.0,"114 Griggs Pl,East Brunswick, NJ 08816",East Brunswick, 08816
834900,5.0,3.0,2600.0,0,1,10.0,,Single Family Residential,1927,73.0,52.0,"3B Center St,Edison, NJ 08817",Edison, 08817
199000,1.0,1.0,854.0,1,0,,5169.0,Condo/Co-op,,43.0,62.0,"2408 Windrow Dr,Princeton, NJ 08540",Princeton, 08540
650000,3.0,3.5,,0,1,8.0,18030.0,Single Family Residential,,40.0,29.0,"53 Bond St,North Brunswick, NJ 08902",North Brunswick, 08902
1069000,5.0,3.5,3071.0,1,1,11.0,16084.0,Single Family Residential,1998,1.0,25.0,"1 Mckinley Ct,Monroe, NJ 08831",Monroe, 08831
265000,2.0,1.5,1154.0,1,0,6.0,1728.0,Single Family Residential,,46.0,38.0,"B Concordia Cir,Monroe, NJ 08831",Monroe, 08831
299000,2.0,2.0,1070.0,1,0,7.0,3957.0,Single Family Residential,1909,67.0,62.0,"645 State St,Perth Amboy, NJ 08861",Perth Amboy, 08861
599900,4.0,3.0,2050.0,0,0,7.0,8480.0,Single Family Residential,1960,28.0,31.0,"63 Kingsley Rd,South Brunswick, NJ 08824",South Brunswick, 08824
225000,1.0,1.0,540.0,1,0,4.0,2678.0,Single Family Residential,1919,70.0,48.0,"648 Atlantic Ave,Perth Amboy, NJ 08861",Perth Amboy, 08861
349900,3.0,2.0,1330.0,1,1,6.0,6001.0,Single Family Residential,1919,79.0,47.0,"445 Steadman Pl,Perth Amboy, NJ 08861",Perth Amboy, 08861
325000,2.0,2.0,1118.0,0,1,5.0,4866.0,Condo/Co-op,,28.0,31.0,"361 Wycoff Way W,East Brunswick, NJ 08816",East Brunswick, 08816
879900,4.0,2.5,2502.0,1,1,8.0,16312.0,Single Family Residential,1981,32.0,36.0,"4 Quaker St,Edison, NJ 08820",Edison, 08820
209000,2.0,2.0,1150.0,0,0,,2022.0,Condo/Co-op,1972,27.0,33.0,"187N Rossmoor Dr Unit 187N,Monroe, NJ 08831",Monroe, 08831
779000,4.0,2.5,2594.0,1,1,7.0,,Single Family Residential,,49.0,36.0,"C Plainfield Ave,Piscataway, NJ 08854",Piscataway, 08854
359000,2.0,2.0,1132.0,0,0,5.0,5589.0,Single Family Residential,,30.0,66.0,"9220 Tamarron Dr,Plainsboro, NJ 08536",Plainsboro, 08536
359900,2.0,2.0,1410.0,1,0,6.0,2154.0,Condo/Co-op,,41.0,34.0,"C Old Nassau Rd,Monroe, NJ 08831",Monroe, 08831
486900,4.0,1.5,944.0,1,0,6.0,6326.0,Single Family Residential,1940,48.0,24.0,"28 Harrison St,Sayreville, NJ 08872",Sayreville, 08872
321000,2.0,2.0,1185.0,1,0,4.0,5838.0,Condo/Co-op,2008,56.0,36.0,"540 Cranbury Rd #215,East Brunswick, NJ 08816",East Brunswick, 08816
656000,2.0,2.5,1992.0,1,1,,10088.0,Single Family Residential,2018,31.0,30.0,"12 Republic Dr,Monroe Township, NJ 08831",Monroe Township, 08831
700000,4.0,2.5,2132.0,1,1,8.0,8770.0,Single Family Residential,1965,51.0,38.0,"101 Calvert Ave E,Edison, NJ 08820",Edison, 08820
510900,4.0,3.0,1691.0,1,1,7.0,9113.0,Single Family Residential,1960,66.0,41.0,"76 W Woodbridge Ave,Iselin, NJ 08830",Iselin, 08830
299990,2.0,2.0,1260.0,0,0,6.0,1982.0,Condo/Co-op,,31.0,34.0,"236 Marblehead Ln Unit A,Monroe, NJ 08831",Monroe, 08831
249999,,,,1,1,,3374.0,Single Family Residential,,70.0,50.0,"250 Main St,South Amboy, NJ 08879",South Amboy, 08879
536000,3.0,1.5,2183.0,1,0,9.0,8903.0,Single Family Residential,1802,76.0,77.0,"609 Plainsboro Rd,Plainsboro, NJ 08536",Plainsboro, 08536
469000,3.0,2.0,,1,1,6.0,8687.0,Single Family Residential,1908,66.0,44.0,"20 Broad St,Milltown, NJ 08850",Milltown, 08850
325000,3.0,1.0,1075.0,1,0,6.0,6170.0,Single Family Residential,1952,46.0,39.0,"654 Dial Ave,Piscataway, NJ 08854",Piscataway, 08854
369900,2.0,2.0,1300.0,0,0,5.0,8532.0,Condo/Co-op,1989,83.0,77.0,"30 S Adelaide Ave Unit 8A,Highland Park, NJ 08904",Highland Park, 08904
350000,3.0,1.0,1308.0,0,0,7.0,5149.0,Single Family Residential,2001,42.0,41.0,"611 Blossom Cir,South Brunswick, NJ 08810",South Brunswick, 08810
315000,2.0,2.0,1150.0,0,1,7.0,1724.0,Condo/Co-op,,24.0,32.0,"261 Middlebury Ln Unit N,Monroe, NJ 08831",Monroe, 08831
639900,4.0,2.5,,1,1,8.0,12570.0,Single Family Residential,,42.0,42.0,"1226 S 9th St S,South Plainfield, NJ 07080",South Plainfield, 07080
485000,3.0,1.0,1092.0,1,1,5.0,8843.0,Single Family Residential,1957,17.0,35.0,"140 Morris Ave,Edison, NJ 08837",Edison, 08837
270000,2.0,2.0,1160.0,0,0,5.0,1747.0,Single Family Residential,,17.0,28.0,"626 Deal Rd Unit A,Monroe, NJ 08831",Monroe, 08831
450000,2.0,2.5,1703.0,1,1,6.0,11197.0,Single Family Residential,1964,53.0,48.0,"873 Bradley St,North Brunswick, NJ 08902",North Brunswick, 08902
409900,2.0,2.5,,1,0,,2022.0,Single Family Residential,,27.0,21.0,"8 Winsor Ct,Sayreville, NJ 08872",Sayreville, 08872
749900,2.0,3.5,2341.0,1,1,7.0,12000.0,Single Family Residential,,0.0,21.0,"908 Charleston Dr,Monroe, NJ 08831",Monroe, 08831
549900,3.0,3.0,1448.0,1,1,6.0,9180.0,Single Family Residential,1965,78.0,54.0,"21 Sheppard Pl,Edison, NJ 08817",Edison, 08817
